Date,Open,High,Low,Close,Volume
2020-07-27,257.2,260.52,256.5,260.12,288696.0
2020-07-28,259.56,259.77,256.54,256.82,206959.0
2020-07-29,258.36,260.64,257.99,259.86,175900.0
2020-07-30,257.615,261.675,256.61,261.2,542539.0
2020-07-31,265.73,265.8,260.89,265.8,392125.0
2020-08-03,268.04,270.15,267.885,269.34,344936.0
2020-08-04,269.04,270.42,268.105,270.42,234435.0
2020-08-05,270.91,271.52,270.0,271.1,168325.0
2020-08-06,270.94,274.94,270.21,274.585,240121.0
2020-08-07,274.02,274.85,269.26,271.56,395060.0
2020-08-10,271.76,271.955,266.755,270.3,311976.0
2020-08-11,269.11,270.435,264.68,265.22,430778.0
2020-08-12,267.49,272.82,267.47,271.92,380976.0
2020-08-13,272.725,274.72,271.58,272.46,337210.0
2020-08-14,273.08,273.38,270.77,272.16,209986.0
2020-08-17,273.95,275.66,273.76,275.32,358000.0
2020-08-18,276.36,278.465,275.03,278.0,254508.0
2020-08-19,277.93,278.99,275.72,276.2,262293.0
2020-08-20,275.19,280.425,275.03,279.88,267183.0
2020-08-21,280.07,282.27,279.53,281.88,208476.0
2020-08-24,285.105,285.975,281.37,283.56,326114.0
2020-08-25,283.055,285.92,282.38,285.86,319781.0
2020-08-26,287.21,292.1,287.005,291.96,484515.0
2020-08-27,292.89,293.79,288.8,290.98,495771.0
2020-08-28,292.42,293.06,290.99,292.51,229186.0
2020-08-31,293.09,296.745,292.65,295.04,364633.0
2020-09-01,297.625,300.02,296.09,299.94,373729.0
2020-09-02,303.21,303.35,296.96,302.84,422423.0
2020-09-03,298.13,298.54,284.45,287.27,1447560.0
2020-09-04,285.65,288.89,271.86,283.67,1724591.0
2020-09-08,272.25,278.19,269.71,270.07,1550221.0
2020-09-09,275.68,280.035,273.01,277.97,410581.0
2020-09-10,280.9,282.17,270.63,272.18,768655.0
2020-09-11,274.23,275.13,266.92,270.64,896244.0
2020-09-14,274.52,277.21,273.03,275.08,367539.0
2020-09-15,278.93,280.43,277.305,278.96,554753.0
2020-09-16,279.93,280.34,274.32,274.4,483298.0
2020-09-17,267.53,272.34,266.72,270.45,845771.0
2020-09-18,271.835,272.0,262.67,266.72,933527.0
2020-09-21,262.59,267.64,260.13,267.62,887751.0
2020-09-22,269.985,273.065,266.6,272.44,607668.0
2020-09-23,272.15,272.29,263.28,264.02,414999.0
2020-09-24,261.63,268.66,261.33,265.36,454647.0
2020-09-25,265.85,272.37,264.37,271.64,361596.0
2020-09-28,276.555,277.17,273.87,277.17,517001.0
2020-09-29,276.68,277.62,275.45,275.82,256276.0
2020-09-30,276.0,281.05,275.905,278.18,445572.0
2020-10-01,281.775,282.78,279.92,282.275,366754.0
2020-10-02,275.795,279.72,273.48,274.245,663805.0
2020-10-05,276.5,280.44,276.42,280.28,359995.0
2020-10-06,279.52,281.16,274.34,275.08,425167.0
2020-10-07,278.02,280.7,277.38,280.11,333277.0
2020-10-08,282.365,282.47,280.45,281.48,203982.0
2020-10-09,283.09,285.79,282.8,285.74,244989.0
2020-10-12,290.26,297.44,289.54,294.62,503192.0
2020-10-13,296.28,296.96,293.17,294.44,644428.0
2020-10-14,295.12,296.2,290.26,292.12,321000.0
2020-10-15,287.25,290.68,286.6,289.98,322632.0
2020-10-16,291.8,293.24,288.3,288.3,446141.0
2020-10-19,290.52,291.4,282.89,283.74,337115.0
2020-10-20,284.58,287.59,282.97,284.5,173270.0
2020-10-21,284.78,287.265,283.78,284.18,287790.0
2020-10-22,285.22,285.95,280.9,284.12,319885.0
2020-10-23,284.795,284.845,281.83,284.82,196812.0
2020-10-26,282.33,285.29,276.76,280.41,454535.0
2020-10-27,281.41,283.42,280.27,282.7,225525.0
2020-10-28,278.005,278.61,271.39,271.43,653381.0
2020-10-29,273.05,279.43,272.53,276.24,377350.0
2020-10-30,274.36,275.22,267.08,270.255,724691.0
2020-11-02,271.88,273.42,267.005,270.01,457241.0
2020-11-03,271.99,276.645,270.96,274.66,423417.0
2020-11-04,283.53,288.76,281.91,286.76,700098.0
2020-11-05,293.42,295.33,292.01,294.26,683565.0
2020-11-06,293.605,295.32,289.88,294.62,511478.0
2020-11-09,297.55,299.01,288.25,288.33,955290.0
2020-11-10,285.225,286.615,280.68,283.56,688173.0
2020-11-11,285.92,290.25,285.56,290.0,254619.0
2020-11-12,290.77,292.02,287.28,288.38,334142.0
2020-11-13,290.385,291.56,287.89,291.16,239381.0
2020-11-16,290.615,293.5,290.09,292.94,303433.0
2020-11-17,293.355,293.69,291.75,292.1,104002.0
2020-11-18,291.795,293.33,290.04,290.06,226661.0
2020-11-19,289.475,292.65,288.93,292.34,214323.0
2020-11-20,292.2,293.05,290.3,290.38,108049.0
2020-11-23,291.63,292.73,288.11,290.38,174957.0
2020-11-24,291.56,294.97,289.65,294.53,264721.0
2020-11-25,295.45,296.91,294.65,296.45,204505.0
2020-11-27,298.26,300.16,297.95,299.04,193059.0
2020-11-30,299.31,299.85,294.9,299.52,166196.0
2020-12-01,302.02,305.13,300.88,303.58,269289.0
2020-12-02,302.21,304.18,300.36,303.82,134281.0
2020-12-03,304.13,305.84,303.54,303.82,211784.0
2020-12-04,304.31,305.67,303.68,305.56,175112.0
2020-12-07,305.565,307.61,305.53,307.24,151742.0
2020-12-08,306.74,308.555,305.045,308.345,141666.0
2020-12-09,308.04,308.28,300.26,301.5,384036.0
2020-12-10,299.25,303.675,298.15,302.42,247545.0
2020-12-11,300.76,301.905,298.5,301.72,197279.0
2020-12-14,303.115,306.025,303.03,303.86,309981.0
2020-12-15,306.42,307.24,304.175,307.18,204908.0
2020-12-16,307.61,309.75,306.71,309.0,219051.0
2020-12-17,310.73,311.23,309.41,311.0,259014.0
2020-12-18,311.64,311.96,307.65,310.0,502196.0
2020-12-21,306.38,309.375,303.68,308.94,354828.0
2020-12-22,309.86,310.69,306.88,309.65,275834.0
2020-12-23,309.85,310.16,308.09,308.16,244819.0
2020-12-24,308.47,309.99,308.41,309.58,171902.0
2020-12-28,312.27,313.155,310.45,312.59,277587.0
2020-12-29,314.15,314.68,312.05,312.9,272449.0
2020-12-30,314.155,314.37,312.405,312.97,217961.0
2020-12-31,312.97,314.23,311.86,314.19,173309.0
2021-01-04,315.13,315.29,305.27,309.35,367086.0
2021-01-05,308.41,312.0,308.41,311.78,217097.0
2021-01-06,306.83,311.87,306.05,307.55,454342.0
2021-01-07,310.4,315.83,310.31,315.125,264436.0
2021-01-08,317.42,319.6,315.13,319.6,282584.0
2021-01-11,315.77,317.09,313.83,314.23,236379.0
