Date,Open,High,Low,Close,Volume
2020-07-27,6.59,6.63,6.34,6.355,375764.0
2020-07-28,6.4,6.615,6.38,6.605,234072.0
2020-07-29,6.49,6.515,6.31,6.375,215981.0
2020-07-30,6.535,6.605,6.24,6.27,535383.0
2020-07-31,5.925,6.27,5.925,5.955,440725.0
2020-08-03,5.77,5.78,5.645,5.69,902053.0
2020-08-04,5.71,5.775,5.63,5.64,511075.0
2020-08-05,5.605,5.655,5.56,5.58,225373.0
2020-08-06,5.58,5.63,5.35,5.37,497786.0
2020-08-07,5.43,5.675,5.35,5.555,658951.0
2020-08-10,5.525,5.85,5.52,5.62,601028.0
2020-08-11,5.71,5.97,5.615,5.935,353755.0
2020-08-12,5.755,5.755,5.43,5.485,720534.0
2020-08-13,5.41,5.51,5.31,5.45,509712.0
2020-08-14,5.41,5.55,5.41,5.475,499092.0
2020-08-17,5.36,5.37,5.26,5.285,359915.0
2020-08-18,25.795,26.435,25.5,25.665,66898.0
2020-08-19,25.75,26.25,25.36,26.13,86503.0
2020-08-20,26.4,26.4,24.93,25.025,98718.0
2020-08-21,25.08,25.14,24.43,24.515,117755.0
2020-08-24,23.67,24.68,23.475,24.22,71077.0
2020-08-25,24.23,24.35,23.505,23.505,61127.0
2020-08-26,23.21,23.21,21.975,22.025,72599.0
2020-08-27,21.89,22.725,21.61,22.17,184370.0
2020-08-28,21.84,22.19,21.75,21.855,68218.0
2020-08-31,21.77,21.77,20.92,21.08,87545.0
2020-09-01,20.77,21.1,20.235,20.235,128809.0
2020-09-02,19.66,20.83,19.55,19.605,108596.0
2020-09-03,20.555,23.23,20.52,22.66,431497.0
2020-09-04,23.095,26.31,22.3,23.53,362854.0
2020-09-08,26.36,27.0,24.9,27.0,230941.0
2020-09-09,25.235,26.01,23.93,24.5,132850.0
2020-09-10,23.865,26.5,23.46,26.06,172838.0
2020-09-11,25.34,27.565,25.26,26.505,221639.0
2020-09-14,25.37,25.82,24.6,25.22,111004.0
2020-09-15,24.23,24.585,23.73,24.08,158760.0
2020-09-16,23.93,25.29,23.79,25.265,141205.0
2020-09-17,26.96,27.43,25.87,26.52,264969.0
2020-09-18,26.0,28.66,25.945,27.48,230602.0
2020-09-21,28.74,29.41,27.13,27.13,202716.0
2020-09-22,26.38,27.415,25.445,25.54,127710.0
2020-09-23,25.74,28.19,25.74,28.035,141875.0
2020-09-24,28.765,28.88,26.55,27.53,207544.0
2020-09-25,27.34,27.88,25.41,25.575,111661.0
2020-09-28,24.37,24.965,24.125,24.155,363159.0
2020-09-29,24.23,24.5,23.91,24.32,146252.0
2020-09-30,24.29,24.29,23.035,23.73,106923.0
2020-10-01,22.91,23.25,22.6,22.74,143450.0
2020-10-02,24.265,24.825,23.36,24.61,967124.0
2020-10-05,24.06,24.06,22.99,23.015,95410.0
2020-10-06,23.215,24.49,22.8,24.26,132633.0
2020-10-07,23.48,23.64,22.83,22.94,64630.0
2020-10-08,22.46,22.865,22.43,22.635,72895.0
2020-10-09,22.245,22.3,21.615,21.615,114576.0
2020-10-12,20.63,20.72,18.97,19.615,215736.0
2020-10-13,19.42,19.86,19.12,19.625,116775.0
2020-10-14,19.55,20.45,19.29,20.095,132564.0
2020-10-15,21.15,21.2,20.375,20.525,156923.0
2020-10-16,20.18,20.77,19.84,20.765,122228.0
2020-10-19,20.42,22.055,20.27,21.92,232941.0
2020-10-20,21.685,22.0,20.985,21.66,193450.0
2020-10-21,21.69,21.85,21.07,21.74,152755.0
2020-10-22,21.46,22.52,21.41,21.78,218967.0
2020-10-23,21.73,22.26,21.61,21.62,115344.0
2020-10-26,22.09,23.405,21.53,22.645,235135.0
2020-10-27,22.38,22.66,21.885,22.06,255443.0
2020-10-28,23.15,24.68,23.08,24.575,276794.0
2020-10-29,24.19,24.4,22.55,23.32,238697.0
2020-10-30,23.85,25.7,23.65,25.08,328283.0
2020-11-02,24.49,25.76,23.955,25.0,124289.0
2020-11-03,24.4,24.66,23.06,23.6,302330.0
2020-11-04,21.36,21.78,20.02,20.465,400795.0
2020-11-05,19.13,19.38,18.675,18.85,327546.0
2020-11-06,19.04,19.75,18.705,18.85,140024.0
2020-11-09,18.25,19.995,17.995,19.995,219974.0
2020-11-10,20.67,21.61,20.405,21.075,383255.0
2020-11-11,20.56,20.56,19.55,19.63,171223.0
2020-11-12,19.435,20.14,19.18,19.945,105499.0
2020-11-13,19.64,19.97,19.29,19.33,64499.0
2020-11-16,19.43,19.56,18.91,19.035,56542.0
2020-11-17,18.915,19.21,18.86,19.13,74412.0
2020-11-18,19.25,19.5,18.905,19.5,66086.0
2020-11-19,19.595,19.725,19.02,19.1,70732.0
2020-11-20,19.14,19.45,18.95,19.45,57658.0
2020-11-23,19.14,19.91,19.02,19.44,81490.0
2020-11-24,19.245,19.6,18.57,18.63,137575.0
2020-11-25,18.47,18.6,18.185,18.265,67825.0
2020-11-27,17.97,17.985,17.585,17.83,42649.0
