Date,Open,High,Low,Close,Volume
2020-07-27,108.47,112.54,107.97,111.86,49176.0
2020-07-28,111.115,111.675,107.6,107.78,42505.0
2020-07-29,109.69,112.5,109.565,111.52,24801.0
2020-07-30,108.66,113.8,107.45,113.21,24804.0
2020-07-31,119.45,119.45,113.19,119.22,22972.0
2020-08-03,122.37,124.96,122.29,124.27,12010.0
2020-08-04,123.68,125.43,122.51,125.36,11546.0
2020-08-05,126.035,126.84,125.24,126.52,5921.0
2020-08-06,126.43,131.45,125.48,131.075,5274.0
2020-08-07,130.33,131.74,123.89,126.87,17799.0
2020-08-10,127.44,127.555,120.55,124.96,11667.0
2020-08-11,123.62,125.11,117.71,118.17,21346.0
2020-08-12,121.29,128.28,121.29,127.12,13107.0
2020-08-13,129.345,130.99,126.67,127.94,4845.0
2020-08-14,128.82,128.82,125.835,127.6,11413.0
2020-08-17,130.08,132.275,129.88,131.62,10395.0
2020-08-18,134.105,136.07,131.56,135.67,7813.0
2020-08-19,136.03,137.07,132.52,132.94,11647.0
2020-08-20,131.8,138.86,131.45,138.73,9708.0
2020-08-21,138.87,141.76,138.18,141.44,13534.0
2020-08-24,146.48,147.37,140.765,143.21,32566.0
2020-08-25,142.92,147.26,142.195,147.26,10644.0
2020-08-26,149.535,157.01,149.35,156.73,13201.0
2020-08-27,158.53,159.16,151.81,155.46,30742.0
2020-08-28,157.52,158.48,155.63,157.79,8858.0
2020-08-31,158.73,164.24,157.91,162.35,6350.0
2020-09-01,165.82,169.28,163.8,169.26,19178.0
2020-09-02,175.51,175.51,164.98,175.31,56465.0
2020-09-03,166.14,166.14,143.15,148.2,68170.0
2020-09-04,144.66,150.08,124.05,142.47,97258.0
2020-09-08,124.73,133.66,121.2,121.2,78746.0
2020-09-09,129.13,134.62,126.2,132.29,34018.0
2020-09-10,136.49,137.96,121.89,123.84,82598.0
2020-09-11,128.01,128.01,117.0,122.05,62122.0
2020-09-14,127.32,130.3,125.38,128.17,18254.0
2020-09-15,133.56,135.025,131.24,133.57,41339.0
2020-09-16,134.59,134.86,126.68,126.68,19455.0
2020-09-17,117.38,123.73,116.33,120.66,125914.0
2020-09-18,122.95,123.25,111.22,116.5,35128.0
2020-09-21,111.74,117.83,108.93,117.83,35075.0
2020-09-22,121.04,124.91,116.96,124.31,24487.0
2020-09-23,123.68,124.0,111.845,112.73,25757.0
2020-09-24,109.69,118.12,109.57,114.51,43746.0
2020-09-25,115.26,123.34,113.21,122.68,19796.0
2020-09-28,128.76,129.595,125.9,129.4,21930.0
2020-09-29,129.25,130.47,127.87,128.53,15552.0
2020-09-30,129.21,135.415,128.805,131.6,97605.0
2020-10-01,136.495,137.88,133.83,137.17,16155.0
2020-10-02,127.88,133.44,125.27,125.91,190565.0
2020-10-05,128.4,134.0,128.4,133.95,20893.0
2020-10-06,133.09,135.0,125.25,126.44,34200.0
2020-10-07,130.39,133.84,129.74,133.66,11326.0
2020-10-08,136.23,136.23,133.77,135.205,14745.0
2020-10-09,137.42,141.37,137.42,141.37,25251.0
2020-10-12,148.25,158.58,147.0,154.55,67582.0
2020-10-13,156.44,158.09,152.39,154.68,52159.0
2020-10-14,154.55,156.72,147.66,150.59,29286.0
2020-10-15,142.81,148.345,141.95,147.23,34809.0
2020-10-16,149.5,152.2,145.55,145.55,26489.0
2020-10-19,147.92,148.8,136.63,137.5,32061.0
2020-10-20,138.7,143.21,136.88,138.92,46766.0
2020-10-21,139.17,142.3,137.91,138.44,27495.0
2020-10-22,139.88,140.92,134.14,138.125,22843.0
2020-10-23,137.18,139.265,135.61,139.21,13068.0
2020-10-26,136.41,139.66,127.6,132.77,64920.0
2020-10-27,134.26,137.06,132.7,136.03,31483.0
2020-10-28,129.13,129.88,119.965,120.09,47310.0
2020-10-29,123.0,130.055,121.27,127.02,45584.0
2020-10-30,123.625,124.55,113.615,116.8,51041.0
2020-11-02,119.52,121.96,113.8,117.26,28191.0
2020-11-03,120.06,126.275,119.27,123.89,57835.0
2020-11-04,135.64,142.47,134.3,139.97,57794.0
2020-11-05,149.65,152.3,147.75,151.17,31960.0
2020-11-06,149.91,152.47,144.11,151.68,27199.0
2020-11-09,156.1,157.025,141.555,141.775,23753.0
2020-11-10,137.14,139.16,130.65,135.01,61628.0
2020-11-11,138.03,144.04,137.65,143.6,27395.0
2020-11-12,144.91,146.87,139.86,140.94,22573.0
2020-11-13,144.37,145.76,140.84,145.47,10572.0
2020-11-16,143.86,148.71,143.86,147.99,10683.0
2020-11-17,148.68,149.07,146.38,146.87,17330.0
2020-11-18,146.3,148.67,143.95,143.95,10190.0
2020-11-19,142.92,147.48,142.28,147.34,15663.0
2020-11-20,146.52,148.21,144.25,144.25,5971.0
2020-11-23,146.36,147.68,140.97,144.19,14912.0
2020-11-24,145.79,150.92,143.89,150.41,21000.0
2020-11-25,152.15,154.0,150.53,153.12,122744.0
2020-11-27,156.015,158.955,155.86,156.815,113992.0
2020-11-30,157.82,158.62,150.66,158.32,46324.0
2020-12-01,161.69,166.8,160.24,164.84,36223.0
2020-12-02,161.97,165.3,159.27,164.64,13613.0
2020-12-03,165.99,167.695,164.5,164.89,15249.0
2020-12-04,165.6,167.71,164.51,167.575,14619.0
2020-12-07,167.66,170.69,167.66,170.5,19830.0
2020-12-08,170.04,172.6,166.71,172.22,20320.0
2020-12-09,171.8,172.08,158.88,161.02,40167.0
2020-12-10,157.15,164.175,155.33,162.6,38270.0
2020-12-11,159.695,161.47,156.1,160.76,22095.0
2020-12-14,163.59,167.87,163.59,164.39,21624.0
2020-12-15,168.67,169.96,165.11,169.96,15433.0
2020-12-16,170.44,174.08,169.01,172.87,17300.0
2020-12-17,175.74,176.63,174.47,176.4,17183.0
2020-12-18,177.39,177.74,170.75,175.07,24971.0
2020-12-21,169.33,174.29,165.08,173.5,25097.0
2020-12-22,174.83,176.5,170.7,174.76,15862.0
2020-12-23,175.36,175.52,172.33,172.33,11730.0
2020-12-24,173.34,175.395,173.21,174.65,5922.0
2020-12-28,179.2,180.62,176.47,179.96,8920.0
2020-12-29,182.32,183.21,179.03,179.84,17974.0
2020-12-30,182.79,182.79,179.78,180.17,5302.0
2020-12-31,180.36,182.3,179.03,182.12,16966.0
2021-01-04,184.19,184.19,167.17,173.93,48983.0
2021-01-05,173.37,178.54,173.37,178.13,33721.0
2021-01-06,169.53,178.2,168.29,170.89,32170.0
2021-01-07,175.57,184.465,175.57,183.88,13194.0
2021-01-08,187.6,190.66,183.61,190.66,34796.0
2021-01-11,184.78,186.9,180.91,181.84,26269.0
2021-01-12,182.01,183.98,176.62,181.96,126878.0
2021-01-13,182.06,186.0,180.81,184.79,25771.0
2021-01-14,185.73,187.26,181.13,181.72,17308.0
2021-01-15,181.28,182.98,175.69,177.39,24507.0
2021-01-19,182.09,185.89,179.75,185.28,22648.0
2021-01-20,191.83,199.67,191.44,199.01,8672.0
2021-01-21,100.14,102.09,99.28,101.58,76081.0
2021-01-22,100.53,101.45,99.98,101.095,22009.0
2021-01-25,103.845,105.01,96.88,103.27,91498.0
2021-01-26,103.73,104.5,102.25,103.51,34062.0
