Date,Open,High,Low,Close,Volume
2010-02-11,10276919,10376519,9745656,9831191,0.432946
2010-02-12,10123577,10131344,9699657,9749434,0.432946
2010-02-16,9537452,9697092,9373986,9403352,0.384841
2010-02-17,9278187,9417419,9232190,9259038,0.384841
2010-02-18,9247491,9290970,9009990,9036838,0.336736
2010-02-19,9118525,9192607,8939804,9061121,0.336736
2010-02-22,8962733,9218149,8956388,9117266,0.240525
2010-02-23,9136439,9583426,9135155,9483804,0.432946
2010-02-24,9320361,9362510,9075117,9187545,0.529156
2010-02-25,9477459,9654965,9123632,9123632,0.432946
2010-02-26,9195172,9283319,9043207,9073879,0.336736
2010-03-01,8967841,8974256,8646041,8674125,0.432946
2010-03-02,8594935,8660084,8451926,8607694,0.19242
2010-03-03,8577116,8672890,8460813,8607694,0.240525
2010-03-04,8560484,8679257,8469770,8500467,0.336736
2010-03-05,8288483,8344652,8081540,8123665,0.481051
2010-03-08,8070041,8085365,8007482,8057258,0.240525
2010-03-09,8127515,8127515,7790343,7918074,0.625366
2010-03-10,7847887,7861860,7676702,7727762,0.432946
2010-03-11,7775041,7815931,7647335,7652442,0.529156
2010-03-12,7555384,7712483,7555384,7640919,0.432946
2010-03-15,7693309,7840166,7634552,7686964,0.432946
2010-03-16,7619273,7681810,7511952,7538754,0.384841
2010-03-17,7513235,7534952,7377878,7503019,0.577261
2010-03-18,7459586,7509387,7382939,7413589,0.432946
2010-03-19,7328078,7612860,7328078,7547711,0.673472
2010-03-22,7617992,7649877,7242496,7335728,1.15452
2010-03-23,7297428,7385529,7164612,7190129,0.865892
2010-03-24,7225888,7329337,7216978,7266732,0.962103
2010-03-25,7110939,7335728,7024099,7326748,1.05831
2010-03-26,7229712,7403419,7142873,7282103,0.721577
2010-03-29,7182433,7239953,7123699,7187611,0.577261
2010-03-30,7124959,7241213,7056031,7117330,0.384841
2010-03-31,7193979,7250146,7094332,7195261,0.817787
2010-04-01,7128831,7372746,6988387,7210587,0.673472
2010-04-05,7176088,7218260,6966624,7011292,0.913997
2010-04-06,7064989,7094332,6892542,6955149,0.721577
2010-04-07,7004948,7109656,6909150,6990882,0.865892
2010-04-08,7063682,7160762,6927041,6966624,0.481051
2010-04-09,6941107,6994732,6823592,6835068,0.577261
2010-04-12,6815894,6852982,6761010,6813399,0.625366
2010-04-13,6836351,6873392,6697168,6706124,1.10641
2010-04-14,6602652,6628147,6468553,6472355,1.15452
2010-04-15,6472355,6472355,6368976,6393211,1.0102
2010-04-16,6453228,6730407,6386820,6595001,2.02041
2010-04-19,6684362,6859373,6569483,6623108,1.9242
2010-04-20,6513246,6646108,6476204,6533725,1.10641
2010-04-21,6391952,6517117,6349803,6403405,1.25073
2010-04-22,6593695,6694624,6284678,6303805,2.45336
2010-04-23,6310242,6367671,6208030,6227181,0.865892
2010-04-26,6210619,6293589,6172272,6269330,1.05831
2010-04-27,6334431,6708643,6257831,6653758,2.21283
2010-04-28,6545178,6798051,6545178,6643518,4.04083
2010-04-29,6551569,6551569,6265505,6299956,2.21283
2010-04-30,6310242,6685667,6279547,6672909,2.06852
2010-05-03,6591153,6595001,6296201,6389340,1.8761
2010-05-04,6628147,7093095,6625629,6967931,3.55978
2010-05-05,7160762,7298687,6934691,7061140,3.8003
2010-05-06,7206714,9630707,6072649,7780127,5.82072
2010-05-07,7956352,8818395,7661376,8289721,5.91693
2010-05-10,7269320,7315296,7056031,7085398,4.42567
2010-05-11,7265470,7317837,6795485,7077723,3.12683
2010-05-12,6979430,7001169,6666494,6692036,2.26094
2010-05-13,6771296,7039424,6614175,7002429,2.06852
2010-05-14,7162046,7644815,7158174,7402182,3.31925
2010-05-17,7348487,7804432,7250146,7345944,2.26094
2010-05-18,7151783,7725218,7105855,7632033,2.21283
2010-05-19,7716285,8067498,7538754,7814648,4.47377
2010-05-20,8247572,8730294,8213096,8578375,4.85862
2010-05-21,9095619,9191370,8204186,8483859,5.96503
2010-05-24,8421253,8500467,8130104,8423820,3.31925
2010-05-25,9057273,9299928,8435319,8488920,6.10935
2010-05-26,8345912,8794182,7984459,8740558,3.12683
2010-05-27,8142840,8225855,7758480,7758480,3.70409
2010-05-28,7738002,8096841,7706091,7901490,3.8003
2010-06-01,7973006,8140250,7563082,8128775,2.93441
2010-06-02,7975595,8137754,7520910,7551559,2.26094
2010-06-03,7479997,7610270,7285881,7325536,3.36736
2010-06-04,7785259,8141557,7505631,8061106,5.77261
2010-06-07,7933422,8524726,7881033,8505553,4.13704
2010-06-08,8453186,8898915,8395734,8546418,5.96503
2010-06-09,8390581,8841441,8146689,8773773,4.47377
2010-06-10,8437884,8518287,7990919,8007482,5.24346
2010-06-11,8253939,8261613,7769957,7796734,4.66619
2010-06-14,7574559,7828643,7413589,7815931,2.98251
2010-06-15,7677984,7693309,7140330,7178654,3.41546
2010-06-16,7220756,7259104,6973015,7064989,3.60788
2010-06-17,6967931,7191343,6947450,6975559,2.30904
2010-06-18,6956431,7044556,6838869,6971756,1.8761
2010-06-21,6725275,7279514,6694624,7153088,5.6283
2010-06-22,7079007,7368944,6923192,7326748,5.33967
2010-06-23,7303794,7594946,7233561,7414918,4.37756
2010-06-24,7518343,7822300,7455762,7791650,3.7522
2010-06-25,7693309,7956352,7605231,7783952,2.16473
2010-06-28,7783952,8033070,7662683,7873358,2.59767
2010-06-29,8239920,8951233,8216923,8744406,6.10935
2010-06-30,8872067,9239888,8607694,9173479,5.24346
2010-07-01,9113463,9790324,9034227,9260298,7.93735
2010-07-02,9221997,9594903,9121137,9336946,3.41546
2010-07-06,8938474,9483804,8750750,9250104,4.95483
2010-07-07,9161981,9182390,8344652,8375302,3.22304
2010-07-08,8177315,8529810,8128775,8250137,3.17494
2010-07-09,8248877,8550290,7988330,7988330,2.93441
2010-07-12,8011284,8087955,7785259,7919357,2.21283
2010-07-13,7718827,7897618,7533693,7647335,2.93441
2010-07-14,7588624,7670311,7384269,7496605,2.59767
2010-07-15,7555384,7778890,7414918,7457045,2.98251
2010-07-16,7574559,8122430,7534952,8057258,4.47377
2010-07-19,8024088,8228467,7841450,7893839,4.42567
2010-07-20,8274395,8343346,7592426,7592426,4.13704
2010-07-21,7366355,7953809,7356114,7902725,3.36736
2010-07-22,7593663,7596229,7211846,7366355,3.12683
2010-07-23,7459586,7505631,7159480,7174851,4.18514
2010-07-26,7151783,7247604,6992166,7011292,1.58747
2010-07-27,6897697,7101983,6881042,6992166,2.26094
2010-07-28,7034314,7248840,6938518,7149239,1.73178
2010-07-29,7058598,7545191,7013882,7331880,4.13704
2010-07-30,7513235,7644815,7151783,7276948,5.53209
2010-08-02,7021533,7096897,6822263,6883655,3.51167
2010-08-03,6900217,7057314,6879760,6966624,2.06852
2010-08-04,6863153,6951323,6731619,6763575,1.68368
2010-08-05,6852982,6928300,6767377,6789094,1.77989
2010-08-06,7029206,7133939,6776311,6819790,2.93441
2010-08-09,6727818,6855548,6640952,6855548,1.20262
2010-08-10,6856807,7024099,6753335,6835068,2.45336
2010-08-11,7210587,7499194,7199041,7404679,2.8382
2010-08-12,7838884,7886119,7504326,7588624,3.36736
2010-08-13,7683045,7761000,7588624,7761000,1.82799
2010-08-16,7882339,7976807,7557928,7715026,2.30904
2010-08-17,7559234,7591143,7215671,7404679,2.35715
2010-08-18,7468568,7542626,7196544,7317837,1.8761
2010-08-19,7458374,7808256,7381726,7638401,3.55978
2010-08-20,7689460,7822300,7588624,7646098,2.30904
2010-08-23,7469779,7861860,7421286,7859317,2.16473
2010-08-24,8112143,8390581,8048371,8296112,3.89651
2010-08-25,8463449,8505553,7951290,8072629,3.8003
2010-08-26,7969134,8365086,7918074,8352326,3.55978
2010-08-27,8169663,8683036,7992180,8011284,5.14725
2010-08-30,8159447,8294829,7944874,8264132,3.03062
2010-08-31,8428904,8529810,8167098,8348454,3.99272
2010-09-01,8015154,8022829,7546451,7638401,4.37756
2010-09-02,7598864,7643486,7359987,7391920,2.06852
2010-09-03,7141613,7220756,6985775,7011292,2.98251
2010-09-07,7085398,7176088,6993448,7139024,1.82799
2010-09-08,7080289,7080289,6794225,6887433,2.45336
2010-09-09,6704842,6847851,6685667,6805678,2.98251
